task,code_task,group,model_key,result_key,display_name,reasoning,condition,conclusion_alignment,conclusion_alignment_scored_only,rouge_l_f1,bertscore_f1,mean_output_tokens,test_records,scored_records,format_failures,judge_failures,judge_model,judge_revision,judge_batch,run,source_qwen36_batch,qwen36_value,delta_vs_qwen36,per_item_exact_agreement,per_item_within_1,per_item_pearson,clinical_equivalence,clinical_equivalence_scored_only,critical_error_rate,unsupported_claim_rate
Board Simulation,task1,board,gemma4_31b_it,gemma4_31b_it,Gemma 4 31B IT,Non-reasoning,multimodal,2.5272,2.5272,0.1811,0.6362,712.7,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/gemma4_31b_it_task1_judge_v31_images_qwen38_20260903,runs/gemma4_31b_it_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536_conclusiononly2_judgeinput,judge/board17_transcript3_task1_judge_v31_images_20260830,2.5435,-0.0163,0.8207,0.9891,0.8973,,,,
Specialist Turn,task2,board,gemma4_31b_it,mm_gemma4_31b_it,Gemma 4 31B IT,Non-reasoning,multimodal,,,0.2027,0.6358,63.0,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/mm_gemma4_31b_it_task2_judge_v4_images_qwen38_20260903,runs/mm_gemma4_31b_it_task2_test_v3_xsfixed_multimodal_20260813_max16384_judgeinput_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.4961,-0.5306,0.4903,0.9234,0.8932,2.9655,2.9655,0.0605,0.0739
Board Simulation,task1,board,gemma4_31b_it_reasoning,gemma4_31b_it_reasoning,Gemma 4 31B IT,Reasoning,multimodal,2.5163,2.5163,0.181,0.6356,1693.4,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/gemma4_31b_it_reasoning_task1_judge_v31_images_qwen38_20260903,runs/gemma4_31b_it_reasoning_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536_conclusiononly2_judgeinput,judge/board17_transcript3_task1_judge_v31_images_20260830,2.5054,0.0109,0.75,1.0,0.8886,,,,
Specialist Turn,task2,board,gemma4_31b_it_reasoning,mm_gemma4_31b_it_reasoning,Gemma 4 31B IT,Reasoning,multimodal,,,0.1983,0.6329,770.7,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/mm_gemma4_31b_it_reasoning_task2_judge_v4_images_qwen38_20260903,runs/mm_gemma4_31b_it_reasoning_task2_test_v3_xsfixed_multimodal_20260813_max16384_judgeinput_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.6373,-0.557,0.4577,0.9197,0.8805,3.0803,3.0803,0.065,0.0995
Board Simulation,task1,board,medgemma_27b_it,medgemma_27b_it,MedGemma 27B IT,Non-reasoning,multimodal,2.1522,2.1522,0.1738,0.6266,1208.4,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/medgemma_27b_it_task1_judge_v31_images_qwen38_20260903,runs/medgemma_27b_it_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536_conclusiononly2_judgeinput,judge/board17_transcript3_task1_judge_v31_images_20260830,2.0435,0.1087,0.7935,1.0,0.88,,,,
Specialist Turn,task2,board,medgemma_27b_it,mm_medgemma_27b_it,MedGemma 27B IT,Non-reasoning,multimodal,,,0.1841,0.6216,81.0,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/mm_medgemma_27b_it_task2_judge_v4_images_qwen38_20260903,runs/mm_medgemma_27b_it_task2_test_v3_xsfixed_multimodal_20260813_max16384_judgeinput_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.4024,-0.5215,0.4472,0.9379,0.879,2.8809,2.8809,0.1371,0.2306
Board Simulation,task1,board,nemotron_3_5_lightning,nemotron_3_5_lightning,NVIDIA Nemotron 3.5 Lightning 30B-A3B,Non-reasoning,ablation_caption_only,1.4565,1.4565,0.0338,0.4793,12075.3,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/nemotron_3_5_lightning_task1_judge_v31_images_qwen38_20260903,runs/nemotron_3_5_lightning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.6087,-0.1522,0.7826,0.9239,0.5973,,,,
Specialist Turn,task2,board,nemotron_3_5_lightning,nemotron_3_5_lightning,NVIDIA Nemotron 3.5 Lightning 30B-A3B,Non-reasoning,caption_only,,,0.1891,0.6311,68.7,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/nemotron_3_5_lightning_task2_judge_v4_images_qwen38_20260903,runs/nemotron_3_5_lightning_task2_test_v3_xsfixed_20260813_max8192_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.5225,-0.5844,0.3875,0.9211,0.8565,2.9381,2.9381,0.1402,0.3059
Board Simulation,task1,board,nemotron_3_5_lightning_reasoning,nemotron_3_5_lightning_reasoning,NVIDIA Nemotron 3.5 Lightning 30B-A3B,Reasoning,ablation_caption_only,1.8859,1.8859,0.1424,0.598,11778.5,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/nemotron_3_5_lightning_reasoning_task1_judge_v31_images_qwen38_20260903,runs/nemotron_3_5_lightning_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.6793,0.2065,0.7826,1.0,0.7748,,,,
Specialist Turn,task2,board,nemotron_3_5_lightning_reasoning,nemotron_3_5_lightning_reasoning,NVIDIA Nemotron 3.5 Lightning 30B-A3B,Reasoning,caption_only,,,0.1564,0.6017,1844.0,4844,4842,2,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/nemotron_3_5_lightning_reasoning_task2_judge_v4_images_qwen38_20260903,runs/nemotron_3_5_lightning_reasoning_task2_test_v3_xsfixed_20260812_max8192_slidealigned,judge/board13_task2_judge_v4_images_20260814,3.5516,-0.5997,0.3848,0.9164,0.8733,2.9519,2.9527,0.0849,0.2181
Board Simulation,task1,board,meditron3_70b,meditron3_70b,Meditron3 70B,Non-reasoning,ablation_caption_only,1.9293,1.95,0.1631,0.6103,2237.0,184,180,4,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/meditron3_70b_task1_judge_v31_images_qwen38_20260903,runs/meditron3_70b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,1.7772,0.1522,0.7667,1.0,0.8377,,,,
Specialist Turn,task2,board,meditron3_70b,meditron3_70b,Meditron3 70B,Non-reasoning,caption_only,,,0.2171,0.643,75.3,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/meditron3_70b_task2_judge_v4_images_qwen38_20260903,runs/meditron3_70b_task2_test_v3_xsfixed_20260817_max8192_slidealigned,judge/meditron3_70b_task2_judge_v4_images_20260817_max8192,3.5411,-0.5268,0.4554,0.9486,0.8708,3.0142,3.0142,0.1121,0.2091
Board Simulation,task1,board,deepseek_v4_pro,deepseek_v4_pro,DeepSeek-V4-Pro,Non-reasoning,ablation_caption_only,2.3967,2.3967,0.1775,0.6332,1114.2,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_pro_task1_judge_v31_images_qwen38_20260903,runs/deepseek_v4_pro_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,2.2717,0.125,0.7228,1.0,0.8368,,,,
Specialist Turn,task2,board,deepseek_v4_pro,deepseek_v4_pro,DeepSeek-V4-Pro,Non-reasoning,caption_only,,,0.1955,0.6271,79.5,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_pro_task2_judge_v4_images_qwen38_20260903,runs/deepseek_v4_pro_task2_test_v3_xsfixed_20260815_max8192,judge/deepseek_v4_pro_task2_judge_v4_images_20260815,4.0091,-0.6897,0.3299,0.9092,0.8324,3.3194,3.3194,0.0646,0.1488
Board Simulation,task1,board,deepseek_v4_pro_reasoning,deepseek_v4_pro_reasoning,DeepSeek-V4-Pro,Reasoning,ablation_caption_only,2.3859,2.3859,0.1692,0.6203,5189.2,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_pro_reasoning_task1_judge_v31_images_qwen38_20260903,runs/deepseek_v4_pro_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,2.3152,0.0707,0.7337,1.0,0.8344,,,,
Specialist Turn,task2,board,deepseek_v4_pro_reasoning,deepseek_v4_pro_reasoning,DeepSeek-V4-Pro,Reasoning,caption_only,,,0.1829,0.6155,637.3,4844,4841,3,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_pro_reasoning_task2_judge_v4_images_qwen38_20260903,runs/deepseek_v4_pro_reasoning_task2_test_v3_xsfixed_20260815_max8192,judge/deepseek_v4_pro_task2_judge_v4_images_20260815,4.1798,-0.7527,0.2975,0.8889,0.8002,3.4271,3.4286,0.0556,0.1175
Board Simulation,task1,board,deepseek_v4_flash_api,deepseek_v4_flash_api,DeepSeek-V4-Flash,Non-reasoning,ablation_caption_only,2.3641,2.3641,0.1667,0.6228,1392.7,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_flash_api_task1_judge_v31_images_qwen38_20260903,runs/deepseek_v4_flash_api_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,2.1957,0.1685,0.7446,1.0,0.8509,,,,
Specialist Turn,task2,board,deepseek_v4_flash_api,deepseek_v4_flash_api,DeepSeek-V4-Flash,Non-reasoning,caption_only,,,0.1705,0.609,94.5,4844,4844,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_flash_api_task2_judge_v4_images_qwen38_20260903,runs/deepseek_v4_flash_api_task2_test_v3_xsfixed_20260814_max8192_slidealigned,judge/deepseek_v4_flash_api_task2_judge_v4_images_20260815,3.8646,-0.6519,0.3289,0.9209,0.8411,3.2126,3.2126,0.072,0.1767
Board Simulation,task1,board,deepseek_v4_flash_api_reasoning,deepseek_v4_flash_api_reasoning,DeepSeek-V4-Flash,Reasoning,ablation_caption_only,2.413,2.413,0.1653,0.6206,4803.8,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_flash_api_reasoning_task1_judge_v31_images_qwen38_20260903,runs/deepseek_v4_flash_api_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536_conclusiononly2,judge/board17_transcript3_task1_judge_v31_images_20260830,2.2826,0.1304,0.6739,1.0,0.8125,,,,
Specialist Turn,task2,board,deepseek_v4_flash_api_reasoning,deepseek_v4_flash_api_reasoning,DeepSeek-V4-Flash,Reasoning,caption_only,,,0.1811,0.6168,324.6,4844,4839,5,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/deepseek_v4_flash_api_reasoning_task2_judge_v4_images_qwen38_20260903,runs/deepseek_v4_flash_api_reasoning_task2_test_v3_xsfixed_20260814_max8192_slidealigned,judge/deepseek_v4_flash_api_task2_judge_v4_images_20260815,4.0149,-0.6872,0.3205,0.9105,0.8287,3.3276,3.33,0.0674,0.1366
Board Simulation,task1,board,claude_opus_5,claude_opus_5,Claude Opus 5,Reasoning,multimodal,2.5272,2.5272,0.1402,0.6008,5540.2,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/claude_opus_5_task1_judge_v31_images_qwen38_20260903,runs/opus5_task1_test_v3_xsfixed_multimodal_20260901_max128000_conclusiononly_judgeinput,judge/api4_task1_judge_v31_images_20260901,2.6467,-0.1196,0.6793,0.9946,0.8046,,,,
Board Simulation,task1,board,gemini_3_7_flash,gemini_3_7_flash,Gemini 3.7 Flash,Reasoning,multimodal,2.7826,2.7826,0.1768,0.6407,2759.4,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/gemini_3_7_flash_task1_judge_v31_images_qwen38_20260903,runs/gemini37flash_task1_test_v3_xsfixed_multimodal_20260901_max65536_effortxhigh_conclusiononly_judgeinput,judge/api4_task1_judge_v31_images_20260901,2.8043,-0.0217,0.7283,1.0,0.8567,,,,
Board Simulation,task1,board,qwen3_8_max,qwen3_8_max,Qwen3.8-Max,Reasoning,multimodal,2.5652,2.5652,0.1504,0.6031,11275.5,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/qwen3_8_max_task1_judge_v31_images_qwen38_20260903,runs/qwen38max_task1_test_v3_xsfixed_multimodal_20260901_max131072_effortxhigh_conclusiononly_judgeinput,judge/api4_task1_judge_v31_images_20260901,2.6033,-0.038,0.7174,0.9946,0.8235,,,,
Board Simulation,task1,board,grok_4_6,grok_4_6,Grok 4.6,Reasoning,multimodal,2.5815,2.5815,0.1592,0.6095,4931.7,184,184,0,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/grok_4_6_task1_judge_v31_images_qwen38_20260903,runs/grok46_task1_test_v3_xsfixed_multimodal_20260901_max450000_effortxhigh_conclusiononly_judgeinput,judge/api4_task1_judge_v31_images_20260901,2.6087,-0.0272,0.7174,0.9946,0.8536,,,,
Board Simulation,task1,board,gpt_5_6_sol,gpt_5_6_sol,GPT-5.6 Sol,Reasoning,multimodal,2.5326,2.558,0.1487,0.6115,8212.6,184,181,3,0,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,judge/gpt_5_6_sol_task1_judge_v31_images_qwen38_20260903,runs/gpt56sol_task1_test_v3_xsfixed_multimodal_or_20260901_max128000_effortxhigh_conclusiononly_judgeinput,judge/gpt56sol_task1_judge_v31_images_20260901,2.5,0.0326,0.7293,0.9945,0.8239,,,,
