task,code_task,display_name,model_key,condition,conclusion_alignment,clinical_equivalence,critical_error_rate,unsupported_claim_rate,rouge_l_f1,bertscore_f1,mean_output_tokens,conclusion_alignment_scored_only,clinical_equivalence_scored_only,test_records,scored_records,format_failures,judge_failures,judge_batch,run,rouge_source,bertscore_source,cost_source
Board Simulation,task1,Gemma 4 31B IT,gemma4_31b_it,multimodal,2.5434782608695654,,,,0.18106610948918453,0.6361541009467581,712.7,2.5434782608695654,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/gemma4_31b_it_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,Gemma 4 31B IT,gemma4_31b_it,multimodal,,3.4960776218001652,0.18971924029727497,0.04108175061932287,0.19737804695371325,0.6362068043155773,63.0,,3.4960776218001652,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/mm_gemma4_31b_it_task2_test_v3_xsfixed_multimodal_20260813_max16384,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_board17_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_xsfixed_both_tasks_20260810/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,Gemma 4 31B IT (reasoning),gemma4_31b_it_reasoning,multimodal,2.505434782608696,,,,0.18102357135180314,0.6356415146070978,1693.4,2.505434782608696,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/gemma4_31b_it_reasoning_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,Gemma 4 31B IT (reasoning),gemma4_31b_it_reasoning,multimodal,,3.63728323699422,0.17196531791907516,0.05346820809248555,0.1974720946873054,0.634888804907596,770.7,,3.63728323699422,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/mm_gemma4_31b_it_reasoning_task2_test_v3_xsfixed_multimodal_20260813_max16384,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_board17_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_xsfixed_both_tasks_20260810/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,MedGemma 27B IT,medgemma_27b_it,multimodal,2.0434782608695654,,,,0.1737918218292659,0.6266470425154852,1208.4,2.0434782608695654,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/medgemma_27b_it_task1_test_v3_xsfixed_multimodal_v3_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,MedGemma 27B IT,medgemma_27b_it,multimodal,,3.402353426919901,0.16783649876135426,0.15854665565648224,0.1729198115286373,0.612926340442763,81.0,,3.402353426919901,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/mm_medgemma_27b_it_task2_test_v3_xsfixed_multimodal_20260813_max16384,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_vision_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_vision_20260813/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,NVIDIA Nemotron 3.5 Lightning 30B-A3B,nemotron_3_5_lightning,ablation_caption_only,1.608695652173913,,,,0.03382154999969748,0.4793364849427472,12075.3,1.608695652173913,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/nemotron_3_5_lightning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,NVIDIA Nemotron 3.5 Lightning 30B-A3B,nemotron_3_5_lightning,caption_only,,3.522502064409579,0.1426507018992568,0.1911643270024773,0.1890694479666499,0.6310721836387373,68.7,,3.522502064409579,4844,4844,0,0,judge/board13_task2_judge_v4_images_20260814,runs/nemotron_3_5_lightning_task2_test_v3_xsfixed_20260813_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,NVIDIA Nemotron 3.5 Lightning 30B-A3B (reasoning),nemotron_3_5_lightning_reasoning,ablation_caption_only,1.6793478260869565,,,,0.14238542101384896,0.5979597127955892,11778.5,1.6793478260869565,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/nemotron_3_5_lightning_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,NVIDIA Nemotron 3.5 Lightning 30B-A3B (reasoning),nemotron_3_5_lightning_reasoning,caption_only,,3.551610239471511,0.157786038826931,0.10945890128046262,0.15641342516119602,0.6017284192043314,1844.0,,3.5526641883519208,4844,4842,2,0,judge/board13_task2_judge_v4_images_20260814,runs/nemotron_3_5_lightning_reasoning_task2_test_v3_xsfixed_20260812_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,Meditron3 70B,meditron3_70b,ablation_caption_only,1.7771739130434783,,,,0.163109176263712,0.6102500087685055,2237.0,1.7944444444444445,,184,180,4,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/meditron3_70b_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,Meditron3 70B,meditron3_70b,caption_only,,3.541081750619323,0.11787778695293147,0.17052023121387283,0.2171101106714669,0.6429734194726613,75.3,,3.541081750619323,4844,4844,0,0,judge/meditron3_70b_task2_judge_v4_images_20260817_max8192,runs/meditron3_70b_task2_test_v3_xsfixed_20260817_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_rerun3_20260817/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_rerun3_20260817/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_rerun3_20260817/summary.json
Board Simulation,task1,DeepSeek-V4-Pro,deepseek_v4_pro,ablation_caption_only,2.2717391304347827,,,,0.17746745406959064,0.6331673724495847,1114.2,2.2717391304347827,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/deepseek_v4_pro_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,DeepSeek-V4-Pro,deepseek_v4_pro,caption_only,,4.009083402146986,0.08464079273327828,0.07369942196531792,0.19547953502519064,0.6270550338014603,79.5,,4.009083402146986,4844,4844,0,0,judge/deepseek_v4_pro_task2_judge_v4_images_20260815,runs/deepseek_v4_pro_task2_test_v3_xsfixed_20260815_max8192,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_dsv4pro_t2_20260815/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_dsv4pro_t2_20260815/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_new4_20260815/summary.json
Board Simulation,task1,DeepSeek-V4-Pro (reasoning),deepseek_v4_pro_reasoning,ablation_caption_only,2.3152173913043477,,,,0.1692445602496627,0.6203357700420462,5189.2,2.3152173913043477,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/deepseek_v4_pro_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,DeepSeek-V4-Pro (reasoning),deepseek_v4_pro_reasoning,caption_only,,4.179810074318745,0.07353852509812023,0.046271431522412726,0.18293164267471027,0.6154636133125907,637.3,,4.18178062383805,4844,4841,3,0,judge/deepseek_v4_pro_task2_judge_v4_images_20260815,runs/deepseek_v4_pro_reasoning_task2_test_v3_xsfixed_20260815_max8192,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_dsv4pro_t2_20260815/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_dsv4pro_t2_20260815/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_new4_20260815/summary.json
Board Simulation,task1,DeepSeek-V4-Flash,deepseek_v4_flash_api,ablation_caption_only,2.1956521739130435,,,,0.16667578356417118,0.6227513917762301,1392.7,2.1956521739130435,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/deepseek_v4_flash_api_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,DeepSeek-V4-Flash,deepseek_v4_flash_api,caption_only,,3.864574731626755,0.10198183319570603,0.08422791081750619,0.17045770611077107,0.6089685343076728,94.5,,3.864574731626755,4844,4844,0,0,judge/deepseek_v4_flash_api_task2_judge_v4_images_20260815,runs/deepseek_v4_flash_api_task2_test_v3_xsfixed_20260814_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,DeepSeek-V4-Flash (reasoning),deepseek_v4_flash_api_reasoning,ablation_caption_only,2.282608695652174,,,,0.16529981733088983,0.6205525897119356,4803.8,2.282608695652174,,184,184,0,0,judge/board17_transcript3_task1_judge_v31_images_20260830,runs/deepseek_v4_flash_api_reasoning_task1_test_v3_xsfixed_transcript_captiononly_v1_20260830_max65536,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_transcript_20260830/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_transcript_20260830/summary.json
Specialist Turn,task2,DeepSeek-V4-Flash (reasoning),deepseek_v4_flash_api_reasoning,caption_only,,4.014863748967795,0.08638148377764,0.06819590824550527,0.18111425476763837,0.6168292156365026,324.6,,4.017978921264724,4844,4839,5,0,judge/deepseek_v4_flash_api_task2_judge_v4_images_20260815,runs/deepseek_v4_flash_api_reasoning_task2_test_v3_xsfixed_20260814_max8192_slidealigned,results/candidate_v1/video_split_60_10_30_v3/task2_rouge_l_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_task2_slidealigned7_20260822/summary.json,results/candidate_v1/video_split_60_10_30_v3/generation_cost_task2_board17_20260814/summary.json
Board Simulation,task1,Claude Opus 5 (reasoning),claude_opus_5,multimodal,2.6467391304347827,,,,0.14019029025631186,0.6008248737324839,5540.2,2.6467391304347827,,184,184,0,0,judge/api4_task1_judge_v31_images_20260901,runs/opus5_task1_test_v3_xsfixed_multimodal_20260901_max128000,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_api4_20260901/summary.json
Board Simulation,task1,Gemini 3.7 Flash (reasoning),gemini_3_7_flash,multimodal,2.8043478260869565,,,,0.17684721133582065,0.6406648000297339,2759.4,2.8043478260869565,,184,184,0,0,judge/api4_task1_judge_v31_images_20260901,runs/gemini37flash_task1_test_v3_xsfixed_multimodal_20260901_max65536_effortxhigh,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_api4_20260901/summary.json
Board Simulation,task1,Qwen3.8-Max (reasoning),qwen3_8_max,multimodal,2.6032608695652173,,,,0.15035099959473036,0.6031168990808985,11275.5,2.6032608695652173,,184,184,0,0,judge/api4_task1_judge_v31_images_20260901,runs/qwen38max_task1_test_v3_xsfixed_multimodal_20260901_max131072_effortxhigh,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_api4_20260901/summary.json
Board Simulation,task1,Grok 4.6 (reasoning),grok_4_6,multimodal,2.608695652173913,,,,0.1592301869252168,0.6095002889633179,4931.7,2.608695652173913,,184,184,0,0,judge/api4_task1_judge_v31_images_20260901,runs/grok46_task1_test_v3_xsfixed_multimodal_20260901_max450000_effortxhigh,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_api4_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_api4_20260901/summary.json
Board Simulation,task1,GPT-5.6 Sol (reasoning),gpt_5_6_sol,multimodal,2.5,,,,0.14868743273643623,0.6114558653278246,8212.6,2.5248618784530388,,184,181,3,0,judge/gpt56sol_task1_judge_v31_images_20260901,runs/gpt56sol_task1_test_v3_xsfixed_multimodal_or_20260901_max128000_effortxhigh,results/candidate_v1/video_split_60_10_30_v3/task1_rouge_l_gpt56sol_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/bertscore_deberta_xlarge_mnli_l40_gpt56sol_20260901/summary.json,results/candidate_v1/video_split_60_10_30_v3/task1_generation_cost_gpt56sol_20260901/summary.json
